task,class,recall,precision,prevalence
Screening,Adventitious,0.9305429178040643,0.47019157088122604,0.16741989539430255
Screening,Adventitious,0.9299363057324841,0.4734403953057443,0.16741989539430255
Screening,Adventitious,0.9287230815893236,0.4764275711840672,0.16741989539430255
Screening,Adventitious,0.9278131634819533,0.47961743493258074,0.16741989539430255
Screening,Adventitious,0.9265999393387928,0.4827749683944374,0.16741989539430255
Screening,Adventitious,0.9253867151956324,0.4859053989488772,0.16741989539430255
Screening,Adventitious,0.9247801031240521,0.4894060995184591,0.16741989539430255
Screening,Adventitious,0.9235668789808917,0.49263873159682897,0.16741989539430255
Screening,Adventitious,0.9223536548377312,0.49600391453270265,0.16741989539430255
Screening,Adventitious,0.921747042766151,0.4996711608023676,0.16741989539430255
Screening,Adventitious,0.9208371246587808,0.5032322227747389,0.16741989539430255
Screening,Adventitious,0.9193205944798302,0.5065173796791443,0.16741989539430255
Screening,Adventitious,0.9181073703366697,0.5101112234580384,0.16741989539430255
Screening,Adventitious,0.9171974522292994,0.5138487680543755,0.16741989539430255
Screening,Adventitious,0.9153776160145587,0.5171350239890335,0.16741989539430255
Screening,Adventitious,0.9150743099787686,0.5213409365819941,0.16741989539430255
Screening,Adventitious,0.9132544737640279,0.5248387659055256,0.16741989539430255
Screening,Adventitious,0.9114346375492872,0.5283052039381153,0.16741989539430255
Screening,Adventitious,0.910828025477707,0.5325412307146657,0.16741989539430255
Screening,Adventitious,0.9105247194419169,0.5370304114490161,0.16741989539430255
Screening,Adventitious,0.9090081892629663,0.5409747292418773,0.16741989539430255
Screening,Adventitious,0.9074916590840157,0.544891640866873,0.16741989539430255
Screening,Adventitious,0.9059751289050653,0.5488790885703786,0.16741989539430255
Screening,Adventitious,0.9032453745829542,0.5521972927869461,0.16741989539430255
Screening,Adventitious,0.9014255383682135,0.5562418117162643,0.16741989539430255
Screening,Adventitious,0.899909008189263,0.5604457876841707,0.16741989539430255
Screening,Adventitious,0.8971792538671519,0.5639656816015253,0.16741989539430255
Screening,Adventitious,0.8956627236882014,0.5683217859892224,0.16741989539430255
Screening,Adventitious,0.8935395814376706,0.5724834823163623,0.16741989539430255
Screening,Adventitious,0.8926296633303002,0.5773984696880518,0.16741989539430255
Screening,Adventitious,0.8911131331513497,0.5820126782884311,0.16741989539430255
Screening,Adventitious,0.8898999090081893,0.5869173834766953,0.16741989539430255
Screening,Adventitious,0.8877767667576585,0.59143261264902,0.16741989539430255
Screening,Adventitious,0.8847437063997573,0.5953061224489796,0.16741989539430255
Screening,Adventitious,0.8826205641492265,0.5998763141620285,0.16741989539430255
Screening,Adventitious,0.8792841977555353,0.6037067888379841,0.16741989539430255
Screening,Adventitious,0.8759478313618441,0.6077441077441077,0.16741989539430255
Screening,Adventitious,0.8741279951471034,0.6128003402083776,0.16741989539430255
Screening,Adventitious,0.8726114649681529,0.6181779114740008,0.16741989539430255
Screening,Adventitious,0.8704883227176221,0.6232356134636265,0.16741989539430255
Screening,Adventitious,0.8671519563239308,0.627661909989023,0.16741989539430255
Screening,Adventitious,0.8638155899302397,0.632046160674656,0.16741989539430255
Screening,Adventitious,0.8610858356081286,0.6369755440879515,0.16741989539430255
Screening,Adventitious,0.8577494692144374,0.6415607985480943,0.16741989539430255
Screening,Adventitious,0.8553230209281165,0.6470858191831115,0.16741989539430255
Screening,Adventitious,0.851076736427055,0.6511951728939429,0.16741989539430255
Screening,Adventitious,0.8477403700333637,0.6561032863849765,0.16741989539430255
Screening,Adventitious,0.8441006976038823,0.6608881500831156,0.16741989539430255
Screening,Adventitious,0.8392478010312405,0.664984378755107,0.16741989539430255
Screening,Adventitious,0.835304822565969,0.6697470817120622,0.16741989539430255
Screening,Adventitious,0.8316651501364877,0.6748707851341373,0.16741989539430255
Screening,Adventitious,0.8268122535638459,0.6791230692575984,0.16741989539430255
Screening,Adventitious,0.8246891113133151,0.6859233097880928,0.16741989539430255
Screening,Adventitious,0.8210494388838337,0.6914431673052363,0.16741989539430255
Screening,Adventitious,0.8174097664543525,0.6971029487842731,0.16741989539430255
Screening,Adventitious,0.8158932362754019,0.7047419439350275,0.16741989539430255
Screening,Adventitious,0.8104337276311798,0.7093177594903106,0.16741989539430255
Screening,Adventitious,0.8061874431301183,0.7149004841312534,0.16741989539430255
Screening,Adventitious,0.802547770700637,0.7211774325429272,0.16741989539430255
Screening,Adventitious,0.7952684258416742,0.7243093922651934,0.16741989539430255
Screening,Adventitious,0.7904155292690325,0.7299719887955182,0.16741989539430255
Screening,Adventitious,0.7858659387321808,0.7358704913376881,0.16741989539430255
Screening,Adventitious,0.7813163481953291,0.7419354838709677,0.16741989539430255
Screening,Adventitious,0.778586593873218,0.749926964650891,0.16741989539430255
Screening,Adventitious,0.7737336973005763,0.7563000296471983,0.16741989539430255
Screening,Adventitious,0.7673642705489839,0.7611311672683514,0.16741989539430255
Screening,Adventitious,0.7619047619047619,0.7670229007633588,0.16741989539430255
Screening,Adventitious,0.7606915377616015,0.7774333539987601,0.16741989539430255
Screening,Adventitious,0.7564452532605399,0.785264483627204,0.16741989539430255
Screening,Adventitious,0.7512890506521079,0.792133034857691,0.16741989539430255
Screening,Adventitious,0.7452229299363057,0.7982456140350878,0.16741989539430255
Screening,Adventitious,0.7397634212920837,0.8052162429844834,0.16741989539430255
