task,class,fpr,tpr
Sound pattern,Normal,0.02699423718531999,0.593864357160283
Sound pattern,Normal,0.027904155292690323,0.5978287387167602
Sound pattern,Normal,0.02851076736427055,0.6032568919248598
Sound pattern,Normal,0.029420685471640885,0.6158209319346182
Sound pattern,Normal,0.030330603579011222,0.622468894852403
Sound pattern,Normal,0.03124052168638156,0.6320444010734325
Sound pattern,Normal,0.03184713375796178,0.6349719443766773
Sound pattern,Normal,0.03275705186533212,0.6382654305928275
Sound pattern,Normal,0.03366696997270246,0.6442424981702854
Sound pattern,Normal,0.034576888080072796,0.6457062698219078
Sound pattern,Normal,0.035183500151653016,0.656379604781654
Sound pattern,Normal,0.036396724294813464,0.6618077579897536
Sound pattern,Normal,0.0373066424021838,0.6671749207123688
Sound pattern,Normal,0.03821656050955414,0.6705293974140034
Sound pattern,Normal,0.039126478616924476,0.6738228836301537
Sound pattern,Normal,0.0397330906885047,0.6771773603317882
Sound pattern,Normal,0.04064300879587504,0.6799219321785801
Sound pattern,Normal,0.04155292690324537,0.6802268846060014
Sound pattern,Normal,0.04246284501061571,0.6852281044157111
Sound pattern,Normal,0.043069457082195936,0.6893754574286411
Sound pattern,Normal,0.043979375189566274,0.6943766772383508
Sound pattern,Normal,0.04488929329693661,0.6948036106367407
Sound pattern,Normal,0.04579921140430695,0.7015125640400097
Sound pattern,Normal,0.04670912951167728,0.7088924127836057
Sound pattern,Normal,0.047315741583257506,0.7101732129787753
Sound pattern,Normal,0.048225659690627844,0.7152964137594535
Sound pattern,Normal,0.04913557779799818,0.7170651378384972
Sound pattern,Normal,0.05004549590536852,0.7234691388143449
Sound pattern,Normal,0.05065210797694874,0.7275555013417907
Sound pattern,Normal,0.051562026084319076,0.7301780922176141
Sound pattern,Normal,0.052471944191689414,0.731763844840205
Sound pattern,Normal,0.05338186229905975,0.7341424737740913
Sound pattern,Normal,0.05398847437063998,0.7378628933886314
Sound pattern,Normal,0.05489839247801031,0.74585264698707
Sound pattern,Normal,0.05580831058538065,0.7468894852403025
Sound pattern,Normal,0.0570215347285411,0.7484752378628934
Sound pattern,Normal,0.05793145283591143,0.7523786289338863
Sound pattern,Normal,0.05853806490749166,0.7557331056355209
Sound pattern,Normal,0.059447983014861996,0.7609172969016833
Sound pattern,Normal,0.060357901122232334,0.7614052207855575
Sound pattern,Normal,0.06157112526539278,0.7648816784581606
Sound pattern,Normal,0.06217773733697301,0.7667113930226884
Sound pattern,Normal,0.06308765544434335,0.7690900219565747
Sound pattern,Normal,0.06399757355171368,0.7700048792388388
Sound pattern,Normal,0.06490749165908402,0.772139546230788
Sound pattern,Normal,0.06581740976645435,0.7775676994388875
Sound pattern,Normal,0.06642402183803457,0.7804952427421322
Sound pattern,Normal,0.06733393994540492,0.7887289582825079
Sound pattern,Normal,0.06824385805277525,0.7897048060502562
Sound pattern,Normal,0.06915377616014559,0.793364235179312
Sound pattern,Normal,0.06976038823172581,0.7974505977067577
Sound pattern,Normal,0.07067030633909614,0.8007440839229081
Sound pattern,Normal,0.07158022444646649,0.802817760429373
Sound pattern,Normal,0.07249014255383682,0.8048304464503537
Sound pattern,Normal,0.07309675462541705,0.8063552085874603
Sound pattern,Normal,0.07400667273278738,0.8083069041229568
Sound pattern,Normal,0.07521989687594784,0.8097096852890949
Sound pattern,Normal,0.07612981498331817,0.8111734569407173
Sound pattern,Normal,0.07703973309068851,0.8145279336423518
Sound pattern,Normal,0.07764634516226873,0.8170895340326909
Sound pattern,Normal,0.07855626326963906,0.8180653818004391
Sound pattern,Normal,0.0794661813770094,0.8185533056843133
Sound pattern,Normal,0.08037609948437974,0.8206879726762625
Sound pattern,Normal,0.08098271155595996,0.8228226396682118
Sound pattern,Normal,0.0818926296633303,0.8241034398633813
